2023-03-07T08:45:34.491Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='68a63e09-26d0-4800-bfbd-db0df9baea96', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178854491, refreshable=false
2023-03-07T08:45:34.504Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='e1a5e869-4b94-43da-8186-e38286e7510a', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178854504, refreshable=false
2023-03-07T08:46:34.476Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='1db8758e-0ec3-4ed0-a434-8723d3ae55c1', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178914475, refreshable=false
2023-03-07T08:46:34.489Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='c2be249e-6520-4e18-bd74-4b9447c07442', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178914489, refreshable=false
2023-03-07T08:47:34.479Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='3554bc18-68d0-4d69-b001-107bde52bd57', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178974478, refreshable=false
2023-03-07T08:47:34.495Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='22fdc6f8-6ac4-441c-8da6-eebbe9536138', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178974495, refreshable=false
2023-03-07T08:48:08.041Z [AUDIT] Token created by 'jffe@000': tokenId='5d7a2be3-c1a2-4129-ae25-b5d1ca47a2bb', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1678179488040, refreshable=false
2023-03-07T08:48:34.475Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='6b76b651-5ca1-4f4f-83d3-1219616d2cdc', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678179034475, refreshable=false
2023-03-07T08:48:34.492Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='de1bf36a-2389-4b46-8c74-f279bd3cf412', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678179034491, refreshable=false
2023-03-07T08:49:34.476Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='8adc1456-268f-4591-886d-1342014958b9', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678179094475, refreshable=false
2023-03-07T08:49:34.488Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='bec0c3d9-b2c8-4ce9-a3b5-b52c651fca7f', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678179094488, refreshable=false
2023-03-07T08:49:39.584Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='d66fa3c7-d9ed-4180-9a58-ddf3e0013989', tokenId='83f32b62-66ba-4d4c-bbc0-94c51af72754', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1678180779583, refreshable=true
2023-03-07T08:50:34.478Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='707cb0c2-c9e0-48fa-9c1c-0f63fc6ffb79', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678179154478, refreshable=false
2023-03-07T08:50:34.490Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='89a6b35d-e436-4340-8f8b-66960bd5276b', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678179154490, refreshable=false
2023-03-07T08:51:34.486Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='d19d4e19-cea6-431a-8fda-626bc984efbb', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678179214485, refreshable=false
2023-03-07T08:51:34.498Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='f3440ec2-3d52-475c-aa0c-424aee44002f', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678179214498, refreshable=false
2023-03-07T08:52:34.475Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='6148932f-76c8-4a61-b4c6-2cd4ddc6d291', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678179274474, refreshable=false
2023-03-07T08:52:34.489Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='35c584f5-0176-48f4-bb80-384a757f9477', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678179274489, refreshable=false
2023-03-07T08:53:34.476Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='cf5395b8-5a52-47b1-b27a-9a8f391f8a2d', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678179334475, refreshable=false
